account_id,customer_id,account_type,open_date,country,status
ACC0000000,CUST001414,Savings,2024-02-20,DE,Active
ACC0000001,CUST001543,Business,2023-12-27,PK,Active
ACC0000002,CUST000734,Savings,2025-02-01,US,Active
ACC0000003,CUST001261,Business,2025-03-28,CN,Active
ACC0000004,CUST001771,Checking,2026-01-26,CN,Active
ACC0000005,CUST000796,Checking,2025-01-15,CN,Active
ACC0000006,CUST001606,Business,2023-12-11,AE,Active
ACC0000007,CUST001419,Business,2025-11-23,PK,Active
ACC0000008,CUST001897,Savings,2024-06-13,NL,Active
ACC0000009,CUST000853,Business,2025-07-14,FR,Active
ACC0000010,CUST001978,Business,2025-03-03,PK,Active
ACC0000011,CUST000026,Business,2026-02-14,AE,Active
ACC0000012,CUST000415,Business,2024-01-23,IN,Active
ACC0000013,CUST001699,Checking,2024-11-14,FR,Active
ACC0000014,CUST001546,Business,2023-11-28,CN,Active
ACC0000015,CUST001512,Business,2025-07-03,DE,Active
ACC0000016,CUST001589,Business,2024-04-09,DE,Active
ACC0000017,CUST000602,Savings,2024-03-09,GB,Active
ACC0000018,CUST001398,Checking,2025-10-07,GB,Active
ACC0000019,CUST001971,Checking,2025-06-30,CN,Active
ACC0000020,CUST000244,Savings,2023-10-31,PK,Closed
ACC0000021,CUST000877,Savings,2024-11-02,CN,Active
ACC0000022,CUST000541,Checking,2025-08-29,GB,Closed
ACC0000023,CUST001196,Savings,2024-01-14,PK,Active
ACC0000024,CUST000676,Savings,2026-04-13,GB,Active
ACC0000025,CUST000081,Checking,2026-03-16,FR,Active
ACC0000026,CUST001222,Checking,2025-10-21,SA,Active
ACC0000027,CUST001726,Business,2024-03-18,AE,Frozen
ACC0000028,CUST001004,Business,2024-04-27,CN,Active
ACC0000029,CUST000733,Checking,2024-12-16,FR,Active
ACC0000030,CUST001076,Checking,2026-03-10,GB,Active
ACC0000031,CUST001066,Checking,2023-12-06,CN,Active
ACC0000032,CUST000326,Savings,2023-12-19,CN,Active
ACC0000033,CUST001099,Savings,2025-02-16,US,Closed
ACC0000034,CUST000715,Checking,2025-09-08,DE,Active
ACC0000035,CUST001358,Savings,2023-11-01,FR,Active
ACC0000036,CUST000738,Savings,2025-08-03,DE,Active
ACC0000037,CUST001946,Business,2026-02-11,CN,Active
ACC0000038,CUST000972,Business,2026-04-16,PK,Active
ACC0000039,CUST000234,Business,2025-10-21,FR,Active
ACC0000040,CUST000912,Checking,2025-04-28,SA,Active
ACC0000041,CUST001881,Business,2025-06-13,DE,Active
ACC0000042,CUST001963,Checking,2024-09-01,FR,Active
ACC0000043,CUST000781,Checking,2025-08-30,NL,Active
ACC0000044,CUST000525,Business,2025-09-19,AE,Active
ACC0000045,CUST000050,Business,2024-09-06,FR,Active
ACC0000046,CUST001053,Business,2025-06-11,IN,Active
ACC0000047,CUST000996,Checking,2025-03-17,AE,Active
ACC0000048,CUST001839,Business,2026-01-25,DE,Active
ACC0000049,CUST000656,Business,2025-12-05,US,Active
ACC0000050,CUST001941,Checking,2024-03-22,GB,Active
ACC0000051,CUST001989,Business,2023-11-28,CN,Active
ACC0000052,CUST000015,Business,2023-10-29,US,Active
ACC0000053,CUST000431,Business,2023-10-31,DE,Closed
ACC0000054,CUST001771,Business,2025-09-24,NL,Active
ACC0000055,CUST001711,Checking,2026-04-22,DE,Active
ACC0000056,CUST001101,Business,2025-09-28,NL,Active
ACC0000057,CUST001324,Checking,2023-11-28,GB,Active
ACC0000058,CUST000048,Savings,2024-08-23,FR,Active
ACC0000059,CUST000077,Checking,2026-01-22,US,Active
ACC0000060,CUST000111,Checking,2026-05-10,AE,Active
ACC0000061,CUST001142,Checking,2025-04-02,SA,Active
ACC0000062,CUST001682,Checking,2023-07-29,AE,Active
ACC0000063,CUST000834,Savings,2023-10-01,IN,Active
ACC0000064,CUST001290,Savings,2025-02-17,NL,Active
ACC0000065,CUST000647,Checking,2026-01-16,NL,Active
ACC0000066,CUST001378,Checking,2026-06-06,CN,Active
ACC0000067,CUST000012,Business,2024-07-02,SA,Active
ACC0000068,CUST000129,Business,2024-08-20,SA,Active
ACC0000069,CUST000093,Business,2025-07-21,US,Active
ACC0000070,CUST000732,Business,2025-11-23,US,Active
ACC0000071,CUST000593,Business,2025-02-01,AE,Active
ACC0000072,CUST001242,Checking,2025-04-29,AE,Active
ACC0000073,CUST001567,Savings,2024-03-20,NL,Active
ACC0000074,CUST000809,Business,2024-09-21,PK,Active
ACC0000075,CUST000970,Checking,2025-02-20,CN,Active
ACC0000076,CUST000450,Checking,2024-11-30,NL,Active
ACC0000077,CUST001631,Business,2023-12-29,AE,Active
ACC0000078,CUST001966,Business,2026-04-28,GB,Frozen
ACC0000079,CUST000610,Business,2026-01-05,FR,Active
ACC0000080,CUST001960,Checking,2025-01-10,CN,Active
ACC0000081,CUST001791,Business,2024-11-24,GB,Active
ACC0000082,CUST000252,Checking,2025-04-29,PK,Active
ACC0000083,CUST001172,Business,2023-12-30,NL,Active
ACC0000084,CUST001100,Business,2025-07-06,US,Active
ACC0000085,CUST000624,Checking,2025-11-28,FR,Active
ACC0000086,CUST000433,Savings,2025-08-15,CN,Active
ACC0000087,CUST000291,Checking,2025-04-26,GB,Active
ACC0000088,CUST000452,Business,2024-06-21,AE,Active
ACC0000089,CUST000397,Checking,2026-06-17,GB,Active
ACC0000090,CUST001374,Business,2023-12-06,PK,Active
ACC0000091,CUST001743,Business,2026-06-24,IN,Closed
ACC0000092,CUST001320,Business,2025-08-19,US,Active
ACC0000093,CUST000595,Business,2024-12-18,US,Active
ACC0000094,CUST000513,Checking,2025-12-27,DE,Active
ACC0000095,CUST001486,Business,2025-01-05,IN,Active
ACC0000096,CUST001948,Savings,2025-08-16,FR,Active
ACC0000097,CUST000262,Business,2024-09-01,DE,Active
ACC0000098,CUST000204,Savings,2026-06-07,SA,Active
