transaction_id,account_id,timestamp,amount,currency,merchant_category,transaction_type,country
e7700e8c-ae57-49db-960c-a835d87572f0,ACC0000517,2026-05-29 01:29:09.708906,26.67,USD,Online Retail,Deposit,GB
67a97295-e7e0-44b6-9658-8edf04a221a5,ACC0002608,2026-06-26 02:00:08.474870,3.1,USD,Healthcare,Transfer,US
79430eda-1d33-4ee1-ab98-07854fc52dcc,ACC0002367,2026-06-22 11:09:43.770625,33.29,USD,Healthcare,Withdrawal,IN
9d299ed6-07a6-4c18-b191-ef02c4c674fc,ACC0001318,2026-05-31 23:55:40.093036,163.39,USD,Healthcare,Purchase,DE
b27dfb86-a78b-48f5-92ed-b66324801ddb,ACC0001080,2026-05-03 03:21:44.639250,104.08,USD,Utilities,Withdrawal,US
52a1a9e4-6b37-4b2d-8c17-04cee83e7f54,ACC0002287,2026-07-05 07:49:45.059835,91.27,USD,Restaurant,Purchase,DE
0de82c7e-423e-47ab-b1c1-6a9127434dfd,ACC0000307,2026-05-22 05:18:48.357151,39.02,USD,Healthcare,Transfer,PK
612243ec-84c8-41fd-b2c8-655e791320b5,ACC0000053,2026-05-07 09:49:15.379898,11.77,USD,Restaurant,Deposit,IN
8a5cdba1-4c56-4496-987c-a49a1a08858a,ACC0000769,2026-05-08 08:33:23.341951,101.33,USD,Healthcare,Withdrawal,US
97ad5d2a-f0ae-4b5f-9ce7-ae262a7f2705,ACC0000854,2026-07-04 06:08:25.855865,20.06,USD,ATM Withdrawal,Withdrawal,CN
2aa88309-4832-4185-b978-900459e904b6,ACC0001277,2026-06-25 19:23:13.098887,750.63,USD,Healthcare,Purchase,GB
4afc8612-9c54-4aae-8f6a-8f426a9e20b8,ACC0000532,2026-06-07 15:27:24.849696,108.27,USD,Restaurant,Deposit,FR
39e94549-f8ab-4d29-b66e-396910f8cd8d,ACC0001853,2026-05-24 13:37:24.911398,27.2,USD,ATM Withdrawal,Transfer,CN
d853036e-ee70-480f-a541-13d1ffbc6173,ACC0001639,2026-07-26 07:28:54.181125,26.22,USD,Restaurant,Withdrawal,US
a9a6a95a-62f4-47a1-aa35-41661830ef14,ACC0001732,2026-06-30 20:30:08.488826,48.84,USD,Travel,Purchase,AE
c2491c4e-1309-4be3-8daa-1f553c33ee3e,ACC0000603,2026-05-21 19:32:14.075735,36556.74,USD,Healthcare,Purchase,US
87f5e89a-cd26-4073-90ee-c6d11bc92fc7,ACC0000985,2026-07-13 03:30:50.281357,208.55,USD,Grocery,Transfer,IN
c56b3779-de1b-4fc0-8d27-095de4d10461,ACC0001092,2026-07-13 23:42:08.609388,68.29,USD,Grocery,Deposit,IN
ff0c9068-814a-419f-9b3b-da2c994d9382,ACC0001441,2026-07-04 18:53:07.157322,22.69,USD,Utilities,Purchase,US
7ef8addb-37b7-4ca2-8604-710787fa8f8c,ACC0001451,2026-06-15 23:09:59.820855,527.7,USD,Fuel,Transfer,DE
8f15e1c0-fe5e-475b-a559-eb79b0583d82,ACC0001625,2026-06-10 02:27:57.569629,57.93,USD,Entertainment,Withdrawal,NL
1979dea8-6990-4593-8be9-7b3b39dbed87,ACC0000217,2026-05-06 17:35:52.053950,137.36,USD,Healthcare,Withdrawal,AE
7fdb3d26-f023-4b68-91a6-e3118b637705,ACC0000400,2026-06-02 09:31:03.476618,26.31,USD,Grocery,Deposit,NL
